Wordlist sampler;;;;;;;;;;;;;;;;;;;;;;;;;
The last 100 items from each thousand up to 100,000 words.;;;;;;;;;;;;;;;;;;;;;;;;;
corpus used: Timestamped JSI web corpus 2014-2019 English preloaded/eng_jsi_newsfeed_virt;;;;;;;;;;;;;;;;;;;;;;;;;
specifications: word list of word forms | case sensitive | no additonal filtering applied | no manual validation;;;;;;;;;;;;;;;;;;;;;;;;;
position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;;;
901-1000;1901-2000;2901-3000;3901-4000;4901-5000;5901-6000;6901-7000;7901-8000;8901-9000;9901-10000;14901-15000;19901-20000;24901-25000;29901-30000;34901-35000;39901-40000;44901-45000;49901-50000;59901-60000;69901-70000;79901-80000;89901-90000;99901-100000;;;
will help;five years;is done;To the;I came;at what;and offers;for money;watching the;calculate the;it remains;Christ and;a Russian;earn money;of immigration;the circulation;of continuing;Of those;could he;few clicks;sugar is;Fact Sheet;n''t vote;;;
it comes;have seen;is already;way in;doing it;pattern of;rights to;the interior;the scale;President and;ask me;the policies;No need;be bought;of economics;tension between;of Manchester;Corporate Governance;channel for;examples that;students through;Elizabeth II;more excited;;;
is only;is really;for about;principles of;have used;board of;options trading;feels like;are involved;right side;minds of;program has;were analyzed;and remains;my two;summarizes the;my fellow;Adobe Acrobat;birth certificate;encouragement to;requiring that;Early on;million users;;;
is going;the primary;the target;law and;there would;attack on;us know;and great;a quarter;be great;unit is;parents of;student of;an infinite;me he;shots of;his childhood;two words;and mouse;credits for;quite literally;Capital of;military has;;;
Of course;your business;not necessarily;the issues;way the;very small;and especially;am very;often used;of pain;of access;not likely;on request;a kitchen;knowing how;seats and;each piece;the variance;an operator;can agree;putting their;Blessed One;major depressive;;;
should have;the overall;up of;to collect;the soil;one more;the doctor;established by;to students;or service;hardware and;input and;of families;a constitutional;kidney disease;rights as;cultivation of;the Queen''s;an advance;business school;provide and;All they;lodged in;;;
in and;end up;death of;of thousands;And he;be good;a trip;is exactly;least in;the civil;Continue Reading;far and;help for;We live;full size;press releases;convenience and;that saw;among children;brain cells;protect her;A certain;latest technologies;;;
available to;to open;array of;in August;you how;with disabilities;the volume;connect with;the aim;built a;week for;disclosure of;film was;Walt Disney;every effort;of cannabis;and structures;surfaces and;am hoping;balancing the;price from;words you;it added;;;
the European;to sell;at first;the disease;the Canadian;belief that;large and;olive oil;long run;was now;water supply;and psychological;community for;war of;does in;in complete;and promotes;similarities between;aiming at;avoids the;practice has;with employees;is smart;;;
because I;middle of;and where;were used;the woman;and state;coupled with;industry is;a federal;risk management;this might;and anxiety;So let;started as;by as;human brain;and preparation;sheets and;To Do;are legally;people thought;wider audience;is crafted;;;
